,SecId,LegalName,Name,IndustryName,SectorName,Ticker,ClosePrice,MarketCap,TenforeId,Universe,ExchangeId
2688,0P00012N8U,Canopy Growth Corp,Canopy Growth Corp,Drug Manufacturers - Specialty & Generic,Healthcare,CGC,0.5182,399614439,126.1.CGC,E0EXG$XNAS,EX$$$$XNAS
2689,0P000005L5,Cantaloupe Inc,Cantaloupe Inc,Information Technology Services,Technology,CTLP,6.42,466703601,126.1.CTLP,E0EXG$XNAS,EX$$$$XNAS
2690,0P0000011U,Canterbury Park Holding Corp,Canterbury Park Holding Corp,Gambling,Consumer Cyclical,CPHC,19.72,97295403,126.1.CPHC,E0EXG$XNAS,EX$$$$XNAS
2691,0P0001EKKX,Capital Bancorp Inc,Capital Bancorp Inc,Banks - Regional,Financial Services,CBNK,20,277921240,126.1.CBNK,E0EXG$XNAS,EX$$$$XNAS
2692,0P00000124,Capital City Bank Group Inc,Capital City Bank Group Inc,Banks - Regional,Financial Services,CCBG,28.35,481712823,126.1.CCBG,E0EXG$XNAS,EX$$$$XNAS
2693,0P000087GQ,Capital Product Partners LP,Capital Product Partners LP,Marine Shipping,Industrials,CPLP,13.75,274352732,126.1.CPLP,E0EXG$XNAS,EX$$$$XNAS
2694,0P0000012D,Capital Southwest Corp,Capital Southwest Corp,Asset Management,Financial Services,CSWC,21.16,845365656,126.1.CSWC,E0EXG$XNAS,EX$$$$XNAS
2695,0P0001OC6V,Capitalworks Emerging Markets Acquisition Corp Class A,Capitalworks Emerging Markets Acquisition Corp Class A,Shell Companies,Financial Services,CMCA,10.75,107482767,126.1.CMCA,E0EXG$XNAS,EX$$$$XNAS
2696,0P0001NZP6,Capitalworks Emerging Markets Acquisition Corp Units (1 Ord Class A & 1/2 War),Capitalworks Emerging Markets Acquisition Corp Units (1 Ord Class A & 1/2 War),Shell Companies,Financial Services,CMCAU,10.78,,126.1.CMCAU,E0EXG$XNAS,EX$$$$XNAS
2697,0P0000012J,Capitol Federal Financial Inc,Capitol Federal Financial Inc,Banks - Regional,Financial Services,CFFN,5,679681875,126.1.CFFN,E0EXG$XNAS,EX$$$$XNAS
2698,0P00009X7S,Capricor Therapeutics Inc,Capricor Therapeutics Inc,Biotechnology,Healthcare,CAPR,2.805,72304111,126.1.CAPR,E0EXG$XNAS,EX$$$$XNAS
2699,0P00018OKQ,CapStar Financial Holdings Inc,CapStar Financial Holdings Inc,Banks - Regional,Financial Services,CSTR,15.95,329026847,126.1.CSTR,E0EXG$XNAS,EX$$$$XNAS
2700,0P00011S2K,Cara Therapeutics Inc,Cara Therapeutics Inc,Biotechnology,Healthcare,CARA,1.15,62189333,126.1.CARA,E0EXG$XNAS,EX$$$$XNAS
2701,0P0001Q9HB,Caravelle International Group,Caravelle International Group,Marine Shipping,Industrials,CACO,0.6299,33242707,126.1.CACO,E0EXG$XNAS,EX$$$$XNAS
2702,0P0000KQZ8,Cardiff Oncology Inc,Cardiff Oncology Inc,Biotechnology,Healthcare,CRDF,1.03,46017484,126.1.CRDF,E0EXG$XNAS,EX$$$$XNAS
2703,0P0001PY54,Cardio Diagnostics Holdings Inc,Cardio Diagnostics Holdings Inc,Biotechnology,Healthcare,CDIO,0.2207,2634338,126.1.CDIO,E0EXG$XNAS,EX$$$$XNAS
2704,0P0001FHL3,Cardiol Therapeutics Inc Class A,Cardiol Therapeutics Inc Class A,Drug Manufacturers - Specialty & Generic,Healthcare,CRDL,0.8003,51499215,126.1.CRDL,E0EXG$XNAS,EX$$$$XNAS
2705,0P0001CMQ1,Cardlytics Inc,Cardlytics Inc,Advertising Agencies,Communication Services,CDLX,11.74,442882213,126.1.CDLX,E0EXG$XNAS,EX$$$$XNAS
2706,0P00013DDX,CareCloud Inc,CareCloud Inc,Health Information Services,Healthcare,CCLD,0.98,15315535,126.1.CCLD,E0EXG$XNAS,EX$$$$XNAS
2707,0P00016YQ0,CareCloud Inc 11 % Cum Red Perp Pfd Registered Shs Series -A-,CareCloud Inc 11 % Cum Red Perp Pfd Registered Shs Series -A-,Health Information Services,Healthcare,CCLDP,15.75,,126.1.CCLDP,E0EXG$XNAS,EX$$$$XNAS
2708,0P0001OEAW,CareCloud Inc 8.75% PRF PERPETUAL USD 25 - Ser B,CareCloud Inc 8.75% PRF PERPETUAL USD 25 - Ser B,Health Information Services,Healthcare,CCLDO,14.3913,,126.1.CCLDO,E0EXG$XNAS,EX$$$$XNAS
2709,0P0000KN0U,CareDx Inc,CareDx Inc,Diagnostics & Research,Healthcare,CDNA,5.04,273010993,126.1.CDNA,E0EXG$XNAS,EX$$$$XNAS
2710,0P0001MNBY,CareMax Inc Ordinary Shares - Class A,CareMax Inc Ordinary Shares - Class A,Health Information Services,Healthcare,CMAX,2.13,237605005,126.1.CMAX,E0EXG$XNAS,EX$$$$XNAS
2711,0P0001BQ2J,CarGurus Inc Class A,CarGurus Inc Class A,Auto & Truck Dealerships,Consumer Cyclical,CARG,17.21,1953303918,126.1.CARG,E0EXG$XNAS,EX$$$$XNAS
2712,0P0001MYYO,Caribou Biosciences Inc Ordinary Shares,Caribou Biosciences Inc Ordinary Shares,Biotechnology,Healthcare,CRBU,3.82,337247844,126.1.CRBU,E0EXG$XNAS,EX$$$$XNAS
2713,0P0001QLCU,CARISMA Therapeutics Inc,CARISMA Therapeutics Inc,Biotechnology,Healthcare,CARM,2.84,114408959,126.1.CARM,E0EXG$XNAS,EX$$$$XNAS
2714,0P0001AN20,Carlyle Secured Lending Inc,Carlyle Secured Lending Inc,Asset Management,Financial Services,CGBD,13.5,685731703,126.1.CGBD,E0EXG$XNAS,EX$$$$XNAS
2715,0P0001RCAL,Carmell Therapeutics Corp Ordinary Shares - Class A,Carmell Therapeutics Corp Ordinary Shares - Class A,Biotechnology,Healthcare,CTCX,1.93,44547569,126.1.CTCX,E0EXG$XNAS,EX$$$$XNAS
